question,answer,category,keywords
What are the benefits of regular exercise? (example 13),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 13),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 13),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 13),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 14),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 14),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 14),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 14),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 14),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 14),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 14),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 14),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 15),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 15),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 15),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 15),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 15),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 15),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 15),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 15),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 16),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 16),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 16),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 16),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 16),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 16),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 16),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 16),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 17),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 17),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 17),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 17),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 17),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 17),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 17),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 17),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 18),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 18),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 18),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 18),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 18),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 18),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 18),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 18),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 19),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 19),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 19),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 19),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 19),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 19),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 19),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 19),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 20),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 20),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 20),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 20),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 20),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 20),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 20),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 20),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 21),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 21),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 21),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 21),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 21),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 21),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 21),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 21),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 22),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 22),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 22),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 22),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 22),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 22),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 22),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 22),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 23),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 23),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 23),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 23),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 23),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 23),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 23),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 23),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 24),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 24),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 24),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 24),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 24),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 24),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 24),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 24),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 25),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 25),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 25),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 25),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 25),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 25),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 25),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 25),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
